COHO ID	change	value	quote	URL	reason	source row	status
COHO:0000031	memberOf	Canadian Partnership for Tomorrow's Health (review row CanPath, mint aggregation)	Cohort Overview BC Generations Project Alberta’s Tomorrow Project Healthy Future Sask Manitoba Tomorrow Project Ontario Health Study CARTaGENE Atlantic PATH	https://canpath.ca/cohorts/	CARTaGENE is one of the seven regional cohorts of CanPath listed in the cohort overview of canpath.ca ('Seven regional cohorts across ten provinces comprise CanPath’s pan-Canadian partnership.'); the review row's note wrongly said none of CanPath's cohorts is in COHO.	568 (CanPath)	applied 2026-09-23
COHO:0000111	type	cohort aggregation	The original Lothian Birth Cohorts of 1921 (LBC1921) and 1936 (LBC1936) were designed as follow-up studies to the Scottish Mental Surveys of 1932 (SMS1932) and 1947 (SMS1947), respectively.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6124629/fullTextXML	The Lothian Birth Cohorts are two separately recruited cohorts, LBC1921 and LBC1936, now minted as members (review rows LBC21 and LBC36, memberOf COHO:0000111); an umbrella over separately recruited cohorts is a cohort aggregation, as COHO:0000070 Finnish Twin Cohort Study was retyped.	392 (LBC36); 394 (LBC21)	applied 2026-09-23
COHO:0000111	definition	A research programme comprising two cohorts, the Lothian Birth Cohorts of 1921 and 1936, whose members took an intelligence test at age 11 in the Scottish Mental Surveys of 1932 and 1947 and were recruited in older age, mostly in Edinburgh and the Lothians, for repeated study of cognitive ageing.	participants of both Surveys, mostly living in Edinburgh and the surrounding area (the Lothians) in older age, were invited to participate in the Lothian Birth Cohort (LBC) studies.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6124629/fullTextXML	Replaces the current definition, which describes LBC1921 only; checker's text (verification of rows 392 and 394), with 'at the University of Edinburgh' left out because only the authors' affiliations give it; definition source PMID:29546429; drafted by Claude Opus 5.5 (Anthropic), 2026-09.	392 (LBC36); 394 (LBC21)	applied 2026-09-23
COHO:0000111	example study moved	EGAS00001003818 moves from COHO:0000111 to the new Lothian Birth Cohort 1921 term (review row LBC21)	297 members of the Lothian Birth Cohort 1921 (LBC1921) were sequenced using the Illumina HiSeq X platform.	https://metadata.ega-archive.org/studies/EGAS00001003818	The EGA study sequenced LBC1921 members only, so it is an example of the LBC1921 cohort, not of the umbrella.	394 (LBC21)	applied 2026-09-23
COHO:0000111	proposed: label	Lothian Birth Cohorts (currently Lothian Birth Cohort)	Cohort Profile Update: The Lothian Birth Cohorts of 1921 and 1936	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6124629/fullTextXML	The term becomes the umbrella of both cohorts, which their profile calls the Lothian Birth Cohorts; relabelling a released term is the curator's decision; if accepted, the existing synonym 'Lothian Birth Cohorts' becomes the label and the old label a synonym.	392 (LBC36)	applied 2026-09-23 at the curator's request
COHO:0000197	proposed: label	Singapore Diabetic Cohort Study (currently Diabetic Cohort)	Cohort profile: the Singapore diabetic cohort study	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC7264641/fullTextXML	The current label is generic; the cohort's own profile is titled 'the Singapore diabetic cohort study' and GLGC names it 'Singapore Diabetic Cohort Study(DC)'; the old label would be kept as a synonym; relabelling a released term is the curator's decision.	656 (SDCS)	applied 2026-09-23 at the curator's request
COHO:0000431	memberOf	ProHealth Kaiser GWAS (appended review row, mint aggregation)	Controls were all men in GERA without PCa diagnosis; who could have had other cancers.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4527942/unicode	GERA men without prostate cancer are the controls of the ProHealth Kaiser GWAS (PMID:26034056).	589 (ProHealth)	applied 2026-09-23
COHO:0000473	memberOf	ProHealth Kaiser GWAS (appended review row, mint aggregation)	Our primary analyses used cases and controls from three KP studies: RPGEH, ProHealth, and CMHS.	https://www.ncbi.nlm.nih.gov/research/bionlp/RESTful/pmcoa.cgi/BioC_xml/PMC4527942/unicode	RPGEH supplied prostate cancer cases to the Kaiser Permanente prostate cancer GWAS (PMID:26034056) that the GWAS Catalog tags ProHealth and later papers call the ProHealth Kaiser GWAS.	589 (ProHealth)	applied 2026-09-23
COHO:0000504	acronym synonym	IRAS	Genetic Epidemiology Network of Arteriopathy (GENOA)79, Insulin Resistance Atherosclerosis Family Study (IRASFS)80, Jackson Heart Study (JHS)81	https://pmc.ncbi.nlm.nih.gov/articles/PMC10918428/	The GWAS Catalog tags GCST90271622 (PMID:37709864, NAFLD CT liver attenuation) IRAS, but that paper's cohorts include only the Insulin Resistance Atherosclerosis Family Study (IRASFS), so IRAS is a GWAS tag of COHO:0000504; it is also the acronym of review row IRAS (Insulin Resistance Atherosclerosis Study), so both terms need editor notes.	581 (IRAS)	applied 2026-09-23
COHO:0000524	definition	A Dutch prospective cohort study, run in the North of the Netherlands, consisting of a population cohort of 2,230 children born between October 1989 and September 1991 and a clinical cohort of 543 children referred to child psychiatric outpatient care before age 11, followed from about age 11 into young adulthood with repeated assessments of mental health, social development and physical health.	TRAILS consists of a population cohort (N = 2230) and a clinical cohort (N = 543), both of which were followed from about age 11 years onwards.	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4339762/fullTextXML	COHO:0000524 carries the survey's own name (TRacking Adolescents' Individual Lives Survey, TRAILS) but its definition covers only the population cohort; widened to the whole survey so that the new clinical cohort term (review row TRAILSCC) can be isSubCohortOf it; checker's text; definition source PMID:25431468; drafted by Claude Opus 5.5 (Anthropic), 2026-09.	661 (TRAILSCC)	applied 2026-09-23
